"","FamID","MomID","DadID","Fam.ord","Pop","Pop.ord","Year","Group","Group.ord","Reg","Reg.ord","Temp","Temp.ord","Temp.rep","Tray.set","Tray","Rep","Cell","TagID","Planting.date","Percival","Leaf.number.going.in","Leaf.number.coming.out..green.","Leaf.number.coming.out..brown.","Notes","NAleafIn","zeroLeafIn","sampledB4leafOut","outRGR","zeros","RGR","surv","regCol","daytimeTemp"
"44","GH_0018","SS3630","SS3652",6,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,1,0.01,"D8",18.01,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"45","GH_0653","ROC123","ROC105",22,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,1,0.01,"D9",653.01,"2/18/19","I-31",4,24,NA,NA,0,0,0,0,0,0.714285714285714,1,"#5E4FA2",35
"46","GH_0849","NFS124","NFS1",65,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,1,0.01,"D10",849.01,"2/18/19","I-31",4,8,NA,NA,0,0,0,0,0,0.142857142857143,1,"#5E4FA2",35
"47","GH_0785","NFS35","NFS91",57,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,1,0.01,"D11",785.01,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"48","GH_0759","ROC69","ROC41",36,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,1,0.01,"D12",759.01,"2/18/19","I-31",4,16,NA,NA,0,0,0,0,0,0.428571428571429,1,"#5E4FA2",35
"49","GH_0810","NFS30","NFS52",59,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,1,0.01,"E1",810.01,"2/18/19","I-31",0,2,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"50","GH_0094","SS3694","SS3662",49,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"E2",94.01,"2/18/19","I-31",0,2,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"51","GH_0868","NFS104","NFS123",68,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,1,0.01,"E3",868.01,"2/18/19","I-31",4,8,NA,NA,0,0,0,0,0,0.142857142857143,1,"#5E4FA2",35
"52","GH_0108","SS4044a","SS4024",53,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"E4",108.01,"2/18/19","I-31",NA,NA,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"53","GH_0742","ROC97","ROC138",34,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,1,0.01,"E5",742.01,"2/18/19","I-31",6,36,NA,NA,0,0,0,0,0,0.714285714285714,1,"#5E4FA2",35
"54","GH_0663","ROC134","ROC3",24,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,1,0.01,"E6",663.01,"2/18/19","I-31",0,4,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"55","GH_0812","NFS34","NFS49",60,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,1,0.01,"E7",812.01,"2/18/19","I-31",8,50,NA,NA,0,0,0,0,0,0.75,1,"#5E4FA2",35
"56","GH_0102","SS4000","SS4048",51,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"E8",102.01,"2/18/19","I-31",4,12,NA,NA,0,0,0,0,0,0.285714285714286,1,"#5E4FA2",35
"57","GH_0669","ROC57","ROC133",25,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,1,0.01,"E9",669.01,"2/18/19","I-31",0,2,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"58","GH_0672","ROC55","ROC14",26,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,1,0.01,"E10",672.01,"2/18/19","I-31",0,4,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"59","GH_0020","SS3633","SS3652",7,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,1,0.01,"E11",20.01,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"60","GH_0032","SS3649","SS3604",14,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,1,0.01,"E12",32.01,"2/18/19","I-31",4,16,NA,NA,0,0,0,0,0,0.428571428571429,1,"#5E4FA2",35
"61","GH_0761","NFS122","NFS45",55,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,1,0.01,"F1",761.01,"2/18/19","I-31",2,6,NA,NA,0,0,0,0,0,0.285714285714286,1,"#5E4FA2",35
"62","GH_0007","SS3612","SS3610",3,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,1,0.01,"F2",7.01,"2/18/19","I-31",0,0,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"63","GH_0748","ROC4","ROC111",31,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,1,0.01,"F3",722.01,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"64","GH_0029","SS3611","SS3646",11,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,1,0.01,"F4",29.01,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"65","GH_0098","SS4031","SS3683",50,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"F5",98.01,"2/18/19","I-31",0,2,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"66","GH_0799","NFS167","NFS162",58,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,1,0.01,"F6",799.01,"2/18/19","I-31",4,12,NA,NA,0,0,0,0,0,0.285714285714286,1,"#5E4FA2",35
"67","GH_0820","NFS31","NFS84",61,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,1,0.01,"F7",820.01,"2/18/19","I-31",0,2,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"68","GH_0715","ROC85","ROC94",30,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,1,0.01,"F8",715.01,"2/18/19","I-31",0,2,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"69","GH_0062","SS4047","SS3674",41,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"F9",62.01,"2/18/19","I-31",8,40,NA,NA,0,0,0,0,0,0.571428571428571,1,"#5E4FA2",35
"70","GH_0840","NFS78","NFS125",64,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,1,0.01,"F10",840.01,"2/18/19","I-31",4,24,NA,NA,0,0,0,0,0,0.714285714285714,1,"#5E4FA2",35
"71","GH_0010","SS3643","SS3610",5,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,1,0.01,"F11",10.01,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"72","GH_0002","SS3651","SS3615",1,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,1,0.01,"F12",2.01,"2/18/19","I-31",8,36,NA,NA,0,0,0,0,0,0.5,1,"#5E4FA2",35
"73","GH_0066","SS3673","SS3660",42,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,2,0.02,"A1",66.02,"2/18/19","I-31",4,12,NA,"Top-Watered",0,0,0,0,0,0.285714285714286,1,"#5E4FA2",35
"74","GH_0002","SS3651","SS3615",1,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,2,0.02,"A2",2.02,"2/18/19","I-31",6,34,NA,NA,0,0,0,0,0,0.666666666666667,1,"#5E4FA2",35
"75","GH_0638","ROC61","ROC153",19,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,2,0.02,"A3",638.02,"2/18/19","I-31",NA,NA,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"76","GH_0683","ROC16","ROC129",28,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,2,0.02,"A4",683.02,"2/18/19","I-31",6,40,NA,NA,0,0,0,0,0,0.80952380952381,1,"#5E4FA2",35
"77","GH_0812","NFS34","NFS49",60,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,2,0.02,"A5",812.02,"2/18/19","I-31",8,39,1,NA,0,0,0,0,0,0.571428571428571,1,"#5E4FA2",35
"78","GH_0759","ROC69","ROC41",36,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,2,0.02,"A6",759.02,"2/18/19","I-31",4,28,NA,NA,0,0,0,0,0,0.857142857142857,1,"#5E4FA2",35
"79","GH_0742","ROC97","ROC138",34,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,2,0.02,"A7",742.02,"2/18/19","I-31",6,18,NA,"Triple Leafs",0,0,0,0,0,0.285714285714286,1,"#5E4FA2",35
"80","GH_0785","NFS35","NFS91",57,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,2,0.02,"A8",785.02,"2/18/19","I-31",0,NA,0,NA,0,1,0,1,0,NA,0,"#5E4FA2",35
"81","GH_0706","ROC127","ROC161",29,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,2,0.02,"A9",706.02,"2/18/19","I-31",2,4,NA,NA,0,0,0,0,0,0.142857142857143,1,"#5E4FA2",35
