"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[104]",1.53,0,0.06,1.4,1.48,1.53,1.57,1.65,26764.6,1
"mu[105]",1.01,0,0.07,0.88,0.96,1,1.05,1.14,18398.15,1
"mu[106]",0.13,0,0.04,0.05,0.1,0.13,0.16,0.21,21309.05,1
"mu[107]",0.02,0,0.02,0,0.01,0.02,0.03,0.06,12969.78,1
"mu[108]",0.32,0,0.04,0.24,0.29,0.32,0.34,0.39,22369.14,1
"mu[109]",0.78,0,0.05,0.69,0.75,0.78,0.81,0.87,17895.39,1
"mu[110]",1.25,0,0.05,1.15,1.22,1.25,1.29,1.36,23522.5,1
"mu[111]",1.53,0,0.06,1.4,1.48,1.53,1.57,1.65,26764.6,1
"mu[112]",1.01,0,0.07,0.88,0.96,1,1.05,1.14,18398.15,1
"mu[113]",0.13,0,0.04,0.05,0.1,0.13,0.16,0.21,21309.05,1
"mu[114]",0.02,0,0.02,0,0.01,0.02,0.03,0.06,12969.78,1
"mu[115]",0.32,0,0.04,0.24,0.29,0.32,0.34,0.39,22369.14,1
"mu[116]",0.78,0,0.05,0.69,0.75,0.78,0.81,0.87,17895.39,1
"mu[117]",1.25,0,0.05,1.15,1.22,1.25,1.29,1.36,23522.5,1
"mu[118]",1.57,0,0.07,1.44,1.52,1.56,1.61,1.7,24527.84,1
"mu[119]",1.53,0,0.06,1.4,1.48,1.53,1.57,1.65,26764.6,1
"mu[120]",1.01,0,0.07,0.88,0.96,1,1.05,1.14,18398.15,1
"mu[121]",0.13,0,0.04,0.05,0.1,0.13,0.16,0.21,21309.05,1
"mu[122]",0.02,0,0.02,0,0.01,0.02,0.03,0.06,12969.78,1
"mu[123]",0.32,0,0.04,0.24,0.29,0.32,0.34,0.39,22369.14,1
"mu[124]",0.78,0,0.05,0.69,0.75,0.78,0.81,0.87,17895.39,1
"mu[125]",1.25,0,0.05,1.15,1.22,1.25,1.29,1.36,23522.5,1
"mu[126]",1.57,0,0.07,1.44,1.52,1.56,1.61,1.7,24527.84,1
"mu[127]",1.53,0,0.06,1.4,1.48,1.53,1.57,1.65,26764.6,1
"mu[128]",1.01,0,0.07,0.88,0.96,1,1.05,1.14,18398.15,1
"mu[129]",0.13,0,0.04,0.05,0.1,0.13,0.16,0.21,21309.05,1
"mu[130]",0.02,0,0.02,0,0.01,0.02,0.03,0.06,12969.78,1
"mu[131]",0.32,0,0.04,0.24,0.29,0.32,0.34,0.39,22369.14,1
"mu[132]",0.78,0,0.05,0.69,0.75,0.78,0.81,0.87,17895.39,1
"mu[133]",1.25,0,0.05,1.15,1.22,1.25,1.29,1.36,23522.5,1
"mu[134]",1.57,0,0.07,1.44,1.52,1.56,1.61,1.7,24527.84,1
"mu[135]",1.53,0,0.06,1.4,1.48,1.53,1.57,1.65,26764.6,1
"mu[136]",1.01,0,0.07,0.88,0.96,1,1.05,1.14,18398.15,1
"mu[137]",0.13,0,0.04,0.05,0.1,0.13,0.16,0.21,21309.05,1
"mu[138]",0.02,0,0.02,0,0.01,0.02,0.04,0.07,11032.98,1
"mu[139]",0.33,0,0.03,0.27,0.31,0.33,0.35,0.39,25223.84,1
"mu[140]",0.77,0,0.04,0.69,0.74,0.77,0.79,0.84,20019.86,1
"mu[141]",1.21,0,0.04,1.13,1.18,1.21,1.24,1.29,21017.29,1
"mu[142]",1.52,0,0.05,1.43,1.49,1.52,1.55,1.62,29457.42,1
"mu[143]",1.55,0,0.05,1.45,1.51,1.55,1.59,1.66,30204.17,1
"mu[144]",1.13,0,0.05,1.03,1.1,1.13,1.17,1.23,27033.5,1
"mu[145]",0.16,0,0.04,0.09,0.13,0.16,0.19,0.24,19880.75,1
"mu[146]",0.02,0,0.02,0,0.01,0.02,0.04,0.07,11032.98,1
"mu[147]",0.33,0,0.03,0.27,0.31,0.33,0.35,0.39,25223.84,1
"mu[148]",0.77,0,0.04,0.69,0.74,0.77,0.79,0.84,20019.86,1
"mu[149]",1.21,0,0.04,1.13,1.18,1.21,1.24,1.29,21017.29,1
"mu[150]",1.52,0,0.05,1.43,1.49,1.52,1.55,1.62,29457.42,1
"mu[151]",1.55,0,0.05,1.45,1.51,1.55,1.59,1.66,30204.17,1
"mu[152]",1.13,0,0.05,1.03,1.1,1.13,1.17,1.23,27033.5,1
"mu[153]",0.16,0,0.04,0.09,0.13,0.16,0.19,0.24,19880.75,1
"mu[154]",0.02,0,0.02,0,0.01,0.02,0.04,0.07,11032.98,1
"mu[155]",0.33,0,0.03,0.27,0.31,0.33,0.35,0.39,25223.84,1
"mu[156]",0.77,0,0.04,0.69,0.74,0.77,0.79,0.84,20019.86,1
"mu[157]",1.21,0,0.04,1.13,1.18,1.21,1.24,1.29,21017.29,1
"mu[158]",1.52,0,0.05,1.43,1.49,1.52,1.55,1.62,29457.42,1
"mu[159]",1.55,0,0.05,1.45,1.51,1.55,1.59,1.66,30204.17,1
"mu[160]",1.13,0,0.05,1.03,1.1,1.13,1.17,1.23,27033.5,1
"mu[161]",0.16,0,0.04,0.09,0.13,0.16,0.19,0.24,19880.75,1
"mu[162]",0.02,0,0.02,0,0.01,0.02,0.04,0.07,11032.98,1
"mu[163]",0.33,0,0.03,0.27,0.31,0.33,0.35,0.39,25223.84,1
"mu[164]",0.77,0,0.04,0.69,0.74,0.77,0.79,0.84,20019.86,1
"mu[165]",1.21,0,0.04,1.13,1.18,1.21,1.24,1.29,21017.29,1
"mu[166]",1.52,0,0.05,1.43,1.49,1.52,1.55,1.62,29457.42,1
"mu[167]",1.55,0,0.05,1.45,1.51,1.55,1.59,1.66,30204.17,1
"mu[168]",1.13,0,0.05,1.03,1.1,1.13,1.17,1.23,27033.5,1
"mu[169]",0.16,0,0.04,0.09,0.13,0.16,0.19,0.24,19880.75,1
"mu[170]",0.02,0,0.02,0,0.01,0.02,0.04,0.07,11032.98,1
"mu[171]",0.33,0,0.03,0.27,0.31,0.33,0.35,0.39,25223.84,1
"mu[172]",0.77,0,0.04,0.69,0.74,0.77,0.79,0.84,20019.86,1
"mu[173]",1.21,0,0.04,1.13,1.18,1.21,1.24,1.29,21017.29,1
"mu[174]",1.52,0,0.05,1.43,1.49,1.52,1.55,1.62,29457.42,1
"mu[175]",1.55,0,0.05,1.45,1.51,1.55,1.59,1.66,30204.17,1
"mu[176]",1.13,0,0.05,1.03,1.1,1.13,1.17,1.23,27033.5,1
"mu[177]",0.16,0,0.04,0.09,0.13,0.16,0.19,0.24,19880.75,1
"mu[178]",0.02,0,0.02,0,0.01,0.02,0.04,0.07,11032.98,1
"mu[179]",0.33,0,0.03,0.27,0.31,0.33,0.35,0.39,25223.84,1
"mu[180]",0.77,0,0.04,0.69,0.74,0.77,0.79,0.84,20019.86,1
