FamID,MomID,DadID,Fam ord,Pop,Pop ord,Year,Group,Group ord,Reg,Reg ord,Temp,Temp ord,Temp rep,Tray set,Tray,Rep,Cell,TagID,Planting date,Percival,Leaf number going in,Leaf number coming out (green),Leaf number coming out (brown),Notes
GH_0868,NFS104,NFS123,68,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,2,0.02,C11,868.02,2/18/19,I-31,4,8,,
GH_0020,SS3633,SS3652,7,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,2,0.02,C12,20.02,2/18/19,I-31,NA,0,,
GH_0114,SS4016,SS3657,54,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,2,0.02,D1,114.02,2/18/19,I-31,4,6,,Curly leafs
GH_0672,ROC55,ROC14,26,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,2,0.02,D2,672.02,2/18/19,I-31,NA,NA,,
GH_0046,SS3692,SS4008,38,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,2,0.02,D3,46.02,2/18/19,I-31,0,2,,
GH_0853,NFS143,NFS51,66,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,2,0.02,D4,853.02,2/18/19,I-31,6,9,1,
GH_0828,NFS120,NFS110,63,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,2,0.02,D5,828.02,2/18/19,I-31,6,27,1,
GH_0068,SS4044,SS3660,43,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,2,0.02,D6,68.02,2/18/19,I-31,NA,0,,
GH_0043,SS4057,SS3672,37,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,2,0.02,D7,43.02,2/18/19,I-31,6,30,,
GH_0102,SS4000,SS4048,51,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,2,0.02,D8,102.02,2/18/19,I-31,10,58,,Bud Developing (Out)
GH_0094,SS3694,SS3662,49,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,2,0.02,D9,94.02,2/18/19,I-31,NA,NA,,
GH_0761,NFS122,NFS45,55,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,2,0.02,D10,761.02,2/18/19,I-31,4,24,,
GH_0026,SS3644,SS3646,9,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,2,0.02,D11,26.02,2/18/19,I-31,2,4,,
GH_0896,NFS136,NFS64,71,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,2,0.02,D12,896.02,2/18/19,I-31,4,8,,
GH_0864,NFS38,NFS126,67,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,2,0.02,E1,864.02,2/18/19,I-31,0,4,,
